country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments,twitter_handle_lower,author_id
DNK,KrF/KD,53,Christian People's Party / Christian Democrats,2600735,kristendemokraterneDK,Denmark,1970,9999,5.3,1975,NA,TRUE,TRUE,TRUE,TRUE,KDDanmark,NA,NA,NA,kddanmark,609893631
DNK,KF,536,Conservative People's Party,423022,Konservative,Denmark,1915,9999,23.7,1901,NA,TRUE,TRUE,TRUE,TRUE,konservativedk,NA,NA,NA,konservativedk,7089792
DNK,DF,1022,Danish Peoples Party,387712,danskfolkeparti,Denmark,1995,9999,20.6,2015,NA,TRUE,TRUE,TRUE,TRUE,DanskDf1995,NA,NA,NA,danskdf1995,1227448789
DNK,RV,1507,Danish Social-Liberal Party / Radical Liberal Party,409773,radikalevenstre,Denmark,1905,9999,20.7,1918,NA,TRUE,TRUE,TRUE,TRUE,radikale,NA,NA,NA,radikale,14462419
DNK,V,1204,Liberal Party,390574,venstre.dk,Denmark,1870,9999,49.4,1903,NA,TRUE,TRUE,TRUE,TRUE,venstredk,NA,NA,NA,venstredk,123868861
DNK,Fobe,333,People's Movement against the EU,6329004,FolkebevaegelsenModEU,Denmark,1979,9999,20.9,1979,NA,TRUE,TRUE,TRUE,TRUE,Folkebevagelsen,NA,NA,NA,folkebevagelsen,1179241530
DNK,SD,379,Social Democrats,411089,socialdemokratiet,Denmark,1871,9999,46.1,1935,NA,TRUE,TRUE,TRUE,TRUE,Spolitik,NA,NA,NA,spolitik,251034857
DNK,SF,329,Socialist Peoples Party,676324,sfparti,Denmark,1959,9999,14.6,1987,NA,TRUE,TRUE,TRUE,TRUE,SFpolitik,NA,NA,NA,sfpolitik,28079017
DNK,A,4070,The Alternative,676322,alternativet.dk,Denmark,2015,9999,4.7,2015,NA,TRUE,TRUE,TRUE,TRUE,alternativet_,NA,NA,NA,alternativet_,1704527995
EST,EKRE,4094,Conservative People’s Party,3055399,rahvuspartei,Estonia,2012,9999,8.1,NA,NA,TRUE,TRUE,TRUE,TRUE,rahvaerakond,NA,NA,NA,rahvaerakond,1126018387
