author_id,twitter_handle,year,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt
25371310,EnglishDemocrat,2014,2102,111,424,102,1
25371310,EnglishDemocrat,2015,3011,396,718,225,28
25371310,EnglishDemocrat,2016,2795,766,1193,243,98
25371310,EnglishDemocrat,2017,210,229,187,39,33
25371310,EnglishDemocrat,2018,144,229,201,57,71
25371310,EnglishDemocrat,2019,237,2565,1963,344,60
25371310,EnglishDemocrat,2020,269,4550,3429,741,73
25371310,EnglishDemocrat,2021,45,1073,866,125,26
25494061,vasemmisto,2009,444,17,5,0,NA
25494061,vasemmisto,2010,173,5,34,0,NA
25494061,vasemmisto,2011,43,1,39,1,1
25494061,vasemmisto,2012,36,2,18,1,NA
25494061,vasemmisto,2013,150,53,118,27,4
25494061,vasemmisto,2014,295,900,815,112,103
25494061,vasemmisto,2015,442,2012,1612,204,916
25494061,vasemmisto,2016,599,4145,2609,372,960
25494061,vasemmisto,2017,655,8255,2596,621,627
25494061,vasemmisto,2018,715,21601,4862,1258,1031
25494061,vasemmisto,2019,786,36685,6795,1979,874
25494061,vasemmisto,2020,648,21819,3108,2314,1116
25494061,vasemmisto,2021,567,15871,2291,2072,552
26265110,Erakond,2009,268,6,0,0,11
26265110,Erakond,2010,671,7,13,0,78
26265110,Erakond,2011,547,4,6,4,46
26265110,Erakond,2012,298,1,11,10,37
26265110,Erakond,2013,47,5,22,2,28
26265110,Erakond,2014,222,33,32,41,31
26265110,Erakond,2015,44,25,20,13,7
26265110,Erakond,2016,830,224,96,26,23
26265110,Erakond,2017,560,253,80,26,40
26265110,Erakond,2018,571,313,79,42,7
26265110,Erakond,2019,455,237,172,33,1
26265110,Erakond,2020,15,11,18,2,NA
26719548,KrFNorge,2009,278,4,2,0,6
26719548,KrFNorge,2010,43,0,17,0,3
26719548,KrFNorge,2011,91,1,132,32,25
26719548,KrFNorge,2012,56,4,76,20,40
26719548,KrFNorge,2013,184,209,388,118,162
26719548,KrFNorge,2014,157,188,262,96,181
26719548,KrFNorge,2015,259,871,492,142,443
26719548,KrFNorge,2016,69,223,108,35,162
26719548,KrFNorge,2017,63,417,160,76,95
26719548,KrFNorge,2018,10,8,2,22,22
26719548,KrFNorge,2021,1,8,4,11,NA
26750370,SPOE_at,2010,64,2,16,0,NA
26750370,SPOE_at,2011,347,34,112,43,1
26750370,SPOE_at,2012,213,37,140,42,28
26750370,SPOE_at,2013,410,428,732,319,75
26750370,SPOE_at,2014,397,607,711,283,135
26750370,SPOE_at,2015,157,396,301,185,88
26750370,SPOE_at,2016,530,6444,2878,715,404
26750370,SPOE_at,2017,2216,44044,11951,4828,1448
26750370,SPOE_at,2018,1044,43793,11012,4897,1252
26750370,SPOE_at,2019,1878,94487,17297,9156,2280
26750370,SPOE_at,2020,903,53807,10330,4284,1192
26750370,SPOE_at,2021,585,53057,7575,3769,372
